method,metric,value
DSDV,delay_ms,8.797790047007812
DSDV,delay_ms,4.5474625561962885
DSDV,delay_ms,22.9633781442218
DSDV,delay_ms,28.56765944489023
DSDV,delay_ms,4.729191977701279
DSDV,delay_ms,39.304293093157504
DSDV,delay_ms,4.844413240131249
DSDV,delay_ms,4.75965900338979
DSDV,delay_ms,5.013350311213723
DSDV,delay_ms,11.203204889599574
DSDV,delay_ms,4.743762473874819
DSDV,delay_ms,4.6697368234226735
DSDV,delay_ms,11.208187018283091
DSDV,delay_ms,18.572553519261483
DSDV,delay_ms,5.22213862256026
DSDV,delay_ms,4.6464164172665825
DSDV,delay_ms,22.065452879632375
DSDV,delay_ms,39.304293093157504
DSDV,delay_ms,28.58361440687992
DSDV,delay_ms,23.63271468822182
DSDV,delay_ms,9.901990151253882
DSDV,delay_ms,5.046312191649999
DSDV,delay_ms,31.057665901738105
DSDV,delay_ms,16.43485101480325
DSDV,delay_ms,14.72542561055796
DSDV,delay_ms,27.19773543094898
DSDV,delay_ms,4.882921225239257
DSDV,delay_ms,13.361440862398412
DSDV,delay_ms,9.642672315861184
DSDV,delay_ms,12.712111744125306
DSDV,delay_ms,9.605173041834316
DSDV,delay_ms,9.503829062546826
DSDV,delay_ms,4.729095983771674
DSDV,delay_ms,13.184893206883483
DSDV,delay_ms,14.9505001665216
DSDV,delay_ms,13.064816795332773
DSDV,delay_ms,5.138616257804409
DSDV,delay_ms,36.60549704502736
DSDV,delay_ms,4.666428338029776
DSDV,delay_ms,8.34724295095176
DSDV,delay_ms,9.765896820600453
DSDV,delay_ms,4.781377484837898
DSDV,delay_ms,18.603084753395745
DSDV,delay_ms,8.564890774742558
DSDV,delay_ms,10.118184147202836
DSDV,delay_ms,10.996647378605445
DSDV,delay_ms,4.730770046896723
DSDV,delay_ms,22.997893564508868
DSDV,delay_ms,4.936012308215906
DSDV,delay_ms,5.238078208576243
DSDV,delay_ms,4.702906947542759
DSDV,delay_ms,16.156294547315273
DSDV,delay_ms,22.05064463227973
DSDV,delay_ms,4.925351431012488
DSDV,delay_ms,9.576107758345264
DSDV,delay_ms,29.306833444836414
DSDV,delay_ms,8.318217388968684
DSDV,delay_ms,9.662371832400485
DSDV,delay_ms,5.130955291319772
DSDV,delay_ms,4.916026382184672
